Land;WahlkreisNr;Wahlkreis;Bezeichnung;Name;Stimmen;AnteilImWahlkreis;Zuordnung
BW;265;Ludwigsburg;David Gibanica;Gibanica, D;224;0,1;EZB
BW;265;Ludwigsburg;Nicht Ich. Wir.;Novotny, J;291;0,2;EZB
BW;266;Neckar-Zaber;Werner Hartmann;Hartmann, W;310;0,2;EZB
BW;272;Karlsruhe-Land;Heidi Mund;Mund, H;548;0,3;EZB
BW;273;Rastatt;Internationalistische Liste;Rapps, W;75;0;DL (WG IB)
BW;277;Rhein-Neckar;Schmitt Wiesloch;Schmitt, D;821;0,5;EZB
BW;278;Bruchsal – Schwetzingen;Die Zukunft am Start;Fritsch, J;1422;0,9;EZB
BW;279;Pforzheim;Internationalistisches Bündnis;Herrlinger, S;49;0;DL (WG IB)
BW;287;Konstanz;Internationalistische Liste;Harting, M;60;0;DL (WG IB)
BW;287;Konstanz;Wadenbeißer;Ringger, H;339;0,2;EZB
BW;293;Bodensee;Internationalistisches Bündnis;Schmidt, F;103;0,1;DL (WG IB)
SL;296;Saarbrücken;Poss4SB;Poss, S;299;0,2;EZB
