Einzelbewerber/Wählergruppe;EB: Kunick;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Kober;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Janda;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Meyer;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Schmidt;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Blickle;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Herrlinger;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Bartholomé;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Weidemann;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Schlüter;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Herzig;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Balzer;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Deutsch;Internationalistisches-Bündnis;
Einzelbewerber/Wählergruppe;EB: Marinello;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Kunick;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Georgiou;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Großkopf;Internationalistisches Bündnis;
Einzelbewerber/Wählergruppe;EB: Gerisch;Ischgl;
Einzelbewerber/Wählergruppe;EB: Richter;Jugend-Narrativ;
Einzelbewerber/Wählergruppe;EB: Hummitzsch;KARLKOMMT;
Einzelbewerber/Wählergruppe;EB: Bauer;Keine CO2-Steuer. WIEDERHERSTELLUNG unserer Grundrechte!;
Einzelbewerber/Wählergruppe;EB: Kerkhoff;Kerkhoff;
Einzelbewerber/Wählergruppe;EB: Baumanns;KLIMAgerechtigkeitsLISTE;
Einzelbewerber/Wählergruppe;EB: Blum;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Mobasheri;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Pohl;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Henig;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Vollmer;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Sayn;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Hoppe;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Hofmann;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Wittner;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Schöne;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Seiffert;Klimaliste;
Einzelbewerber/Wählergruppe;EB: Stachowiak;Klimaliste Darmstadt-Dieburg;
Einzelbewerber/Wählergruppe;EB: Mandel;Klimaliste für Collective Care und Inklusion;
Einzelbewerber/Wählergruppe;EB: Wiesenthal;Klimaschutz;
Einzelbewerber/Wählergruppe;EB: Lauer;Lauer, Marius Wolfgang;
Einzelbewerber/Wählergruppe;EB: Lenz;LENZ;
Einzelbewerber/Wählergruppe;EB: Löhnert;MACH;
Einzelbewerber/Wählergruppe;EB: Friedl;Malkampf für das Klima;
Einzelbewerber/Wählergruppe;EB: Manz;Manz;
Einzelbewerber/Wählergruppe;EB: Carstensen;Marburger Pogo-Anarchisten;
Einzelbewerber/Wählergruppe;EB: Fuchs;Marcus Fuchs - Querdenken 351;
Einzelbewerber/Wählergruppe;EB: Bieling;Marko Bieling;
Einzelbewerber/Wählergruppe;EB: Erdmann;Markus Erdmann - Klimaliste;
Einzelbewerber/Wählergruppe;EB: Mascher;Mascher;
Einzelbewerber/Wählergruppe;EB: Sommerfeldt;Mehr Vernunft;
Einzelbewerber/Wählergruppe;EB: Lindlmair;Mieterinitiativen;
Einzelbewerber/Wählergruppe;EB: Heil;Mit Sachverstand die Zukunft gestalten;
Einzelbewerber/Wählergruppe;EB: Geselbracht;Münsterliste - bunt und international e.V.;
Einzelbewerber/Wählergruppe;EB: Klement;Neue Wege;
Einzelbewerber/Wählergruppe;EB: Novotny;Nicht Ich. Wir.;
Einzelbewerber/Wählergruppe;EB: Tolzin;Nie wieder sinnlose Lockdowns!;
Einzelbewerber/Wählergruppe;EB: Janoske-Kizildag;ODIN;
Einzelbewerber/Wählergruppe;EB: Hönig;OpaBraveheart;
Einzelbewerber/Wählergruppe;EB: Klimczak;Paletten;
Einzelbewerber/Wählergruppe;EB: Löwe;parteienunabhängig;
Einzelbewerber/Wählergruppe;EB: Ryssel;Parteifreier Direktkandidat WK 226;
Einzelbewerber/Wählergruppe;EB: Dippel;#parteifrei #Gemeinsam gewinnen! #Gemeinsam verändern! Einfach mal anders: Erststimme Dippel!;
Einzelbewerber/Wählergruppe;EB: Snelinski;Parteifrei in den Bundestag;
Einzelbewerber/Wählergruppe;EB: Moser;Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.;
Einzelbewerber/Wählergruppe;EB: Charnow;Parteilos;
Einzelbewerber/Wählergruppe;EB: Lorenz;Parteilos;
Einzelbewerber/Wählergruppe;EB: Koccu;Parteilos;
Einzelbewerber/Wählergruppe;EB: Moritz;Parteilos Dr. Moritz;
Einzelbewerber/Wählergruppe;EB: Marquardt;parteilose Direktkandidatin Marquardt;
Einzelbewerber/Wählergruppe;EB: Schlippenbach;PARTEILOS - FÜR MEHR DIREKTE DEMOKRATIE;
Einzelbewerber/Wählergruppe;EB: Peiler;Peiler;
Einzelbewerber/Wählergruppe;EB: Pettenkofer;Pettenkofer;
Einzelbewerber/Wählergruppe;EB: Bechtel;Politik durch Bodenständigkeit und Bürgerbeteiligung;
Einzelbewerber/Wählergruppe;EB: Klopstock;Politisch mitwirken für alle;
Einzelbewerber/Wählergruppe;EB: Poss;Poss4SB;
Einzelbewerber/Wählergruppe;EB: Schlot;Prof. Dr. med. Udo Schlot;
Einzelbewerber/Wählergruppe;EB: Queck;QUECK;
Einzelbewerber/Wählergruppe;EB: Rehbein;REHBEIN;
